Latitude,Longitude,Number of Structures,Type of building,Building Material,No of storeys,Type of Building Registration,Use of building,Total No. of Family Member,Gender: Male,Gender: Female,Gender: Others,Physically Disabled,Source of Income,Average Salary,Crops Harvest,Irrigation Facility,Electricity Facility,Road Acces,Nearest Health Facility,Animal Husbandary,No. of old member
27.4290162,85.0640129,1,स्थायी भवन,आर.सी.सी.,1,नक्सा पास् र सम्पन्न भएको,Residential,7,3,4,,0,Agriculture,15000,"Maize, Millet",No,Yes,Yes,7km,Cow,0
27.4522323,85.0482326,1,अस्थायी भवन,जस्तापाता,2,थाहा नभएको ,Others,,,,,,Agriculture,,"Maize, Paddy, Wheat, Millet",Rain Water,Yes,Yes,6km,,
27.4325336,85.0610744,2,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,3,1,2,,0,Agriculture,13000,"Maize, Millet",No,Yes,Yes,9km,,
27.4358388,85.0631384,2,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,6,3,3,,0,Agriculture,7000,"Maize, Millet",No,Yes,Yes,9km,Chicken,0
27.452483,85.0481944,1,अस्थायी भवन,जस्तापाता,2,नक्सा पास् र सम्पन्न भएको,Residential,5,3,2,,0,Agriculture,10k,"Maize, Paddy, Wheat, Millet",Rain Water,Yes,Yes,6km,"Chicken, Goat",0
27.4360094,85.0633381,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,5,2,3,,0,Agriculture,32000,"Maize, Millet",No,Yes,Yes,9km,Chicken,0
27.4508484,85.048387,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,6,2,4,,0,"Agriculture, Foreign Employment",20k,"Maize, Paddy, Wheat, Millet",Rain Water,Yes,Yes,6km,"Chicken, Goat",2
27.4236661,85.0604696,1,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,3,2,1,,1,Agriculture,7000,"Maize, Millet",No,Yes,Yes,9km,Chicken,0
27.4494506,85.0487671,1,स्थायी भवन,"जस्तापाता, आर.सी.सी.",1,नक्सा पास् र सम्पन्न भएको,Residential,7,2,5,,0,"Agriculture, Foreign Employment",25k,"Paddy, Millet, Maize",Rain Water,Yes,Yes,6.5 km,"Buffalo, Chicken, Goat",2
27.4217449,85.0606071,1,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,4,2,2,,0,Agriculture,7000,"Maize, Millet",No,Yes,Yes,9km,Buffalo,1
27.4496722,85.0499696,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,10,7,3,,1,Agriculture,10k,"Maize, Paddy, Wheat, Millet",Rain Water,Yes,Yes,6.5 km,"Chicken, Goat",2
27.4497218,85.0503456,2,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,,,,,,Agriculture,,"Maize, Paddy, Wheat, Millet",Rain Water,Yes,Yes,6.5 km,,
27.4216344,85.0606455,2,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,5,3,2,,0,Agriculture,6000,"Maize, Millet",No,Yes,Yes,9km,Buffalo,0
27.4209989,85.0609258,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,4,2,2,,0,Agriculture,12000,"Maize, Millet",No,Yes,Yes,8km,Goat,1
27.4511182,85.0512594,2,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Null,3,2,1,,0,Agriculture,10k,"Maize, Paddy, Wheat, Millet",Rain Water,Yes,Yes,6km,"Buffalo, Chicken, Goat",2
27.4208027,85.0611855,2,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,7,3,4,,1,Agriculture,13000,"Maize, Millet",No,Yes,Yes,9km,Chicken,2
27.4508283,85.0466194,1,स्थायी भवन,"जस्तापाता, आर.सी.सी.",1,नक्सा पास् र सम्पन्न भएको,Residential,4,2,2,,0,"Agriculture, Government Job",30k,"Maize, Paddy, Wheat, Millet",Rain Water,Yes,Yes,6km,"Chicken, Goat",0
27.4207063,85.0615002,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,3,1,2,,0,Agriculture,13000,"Maize, Millet",No,Yes,Yes,9km,Chicken,0
27.4504672,85.0468933,1,स्थायी भवन,"जस्तापाता, आर.सी.सी.",1,नक्सा पास् र सम्पन्न भएको,Residential,4,1,3,,0,Agriculture,10k,"Maize, Paddy, Wheat, Millet",Rain Water,Yes,Yes,6km,Buffalo,0
27.4503151,85.0470755,1,स्थायी भवन,आर.सी.सी.,1,नक्सा पास् र सम्पन्न भएको,Residential,3,2,1,,0,"Agriculture, Army",40k,"Maize, Paddy, Wheat, Millet",Rain Water,Yes,Yes,6km,Buffalo,0
27.4209349,85.0617601,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,5,3,2,,0,Agriculture,13000,"Maize, Millet",No,Yes,Yes,9km,Goat,0
27.4203063,85.0621726,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,5,2,3,,0,Agriculture,14000,"Maize, Millet",No,Yes,Yes,9km,Goat,0
27.4503151,85.0470755,1,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Null,,,,,,,,,,,,,,
27.4201141,85.062387,1,स्थायी भवन,"जस्तापाता, आर.सी.सी.",2,नक्सा पास् र सम्पन्न भएको,Residential,4,2,2,,0,Business,12000,"Maize, Millet",No,Yes,Yes,9km,Goat,0
27.4499587,85.0475742,1,स्थायी भवन,आर.सी.सी.,1,थाहा नभएको ,Residential,,,,,,Agriculture,,"Paddy, Wheat, Maize",,Yes,Yes,6km,,
27.4208692,85.0635666,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,7,3,4,,0,Agriculture,50000,"Maize, Millet",No,Yes,Yes,8km,Cow,0
27.4499529,85.0475732,2,स्थायी भवन,"जस्तापाता, आर.सी.सी.",2,नक्सा पास् र सम्पन्न भएको,Residential,6,3,3,,0,Agriculture,10k,"Maize, Millet",Rain Water,Yes,Yes,6km,"Chicken, Goat",1
27.421216,85.0637133,2,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,11,6,5,,0,Agriculture,23000,"Maize, Millet",No,Yes,Yes,9km,"Chicken, Cow",2
27.449618,85.047574,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,4,2,2,,0,Agriculture,5k,"Maize, Millet",Rain Water,Yes,Yes,6km,"Chicken, Goat",0
27.4214966,85.0645853,2,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,7,3,4,,0,Agriculture,32000,"Maize, Millet",No,Yes,Yes,8km,"Buffalo, Goat",1
27.4486797,85.0478569,2,स्थायी भवन,"जस्तापाता, आर.सी.सी.",2,नक्सा पास् र सम्पन्न भएको,Residential,8,4,4,,0,"Agriculture, Foreign Employment",30k,"Maize, Millet",,Yes,Yes,6km,Buffalo,2
27.4216058,85.0648239,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,4,1,3,,0,Teaching,32000,"Maize, Millet",No,Yes,Yes,500m,Chicken,0
27.421705,85.0657605,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,3,2,1,,0,Agriculture,45000,"Maize, Millet",No,Yes,Yes,500m,Goat,0
27.4484663,85.048413,1,स्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,3,1,2,,0,Agriculture,3k,"Maize, Millet",Rain Water,Yes,Yes,6km,"Chicken, Goat",
27.4223507,85.0660766,1,अस्थायी भवन,जस्तापाता,2,नक्सा पास् र सम्पन्न भएको,Residential,6,1,5,,0,Agriculture,14000,"Maize, Millet",No,Yes,Yes,500m,Cow,0
27.448325,85.0485673,1,स्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,5,2,3,,0,Agriculture,1k,"Maize, Millet",Rain Water,Yes,Yes,6km,Buffalo,1
27.423208,85.0664956,2,स्थायी भवन,जस्तापाता,1,नक्सा पास् नभएको र अभिलेकिकरण नगरिएको,Residential,5,3,2,,0,Agriculture,13000,"Maize, Millet",No,Yes,Yes,3km,Cow,1
27.4478206,85.0491997,1,स्थायी भवन,जस्तापाता,2,नक्सा पास् र सम्पन्न भएको,Residential,4,2,2,,0,Agriculture,2k,"Maize, Millet",Rain Water,Yes,Yes,7km,"Chicken, Goat",0
27.4235789,85.0666763,2,स्थायी भवन,जस्तापाता,1,नक्सा पास् नभएको र अभिलेकिकरण नगरिएको,Residential,1,0,1,,0,Agriculture,3000,"Maize, Millet",No,Yes,Yes,3km,,1
